Wall time,Step,Value
1715109933.2318733,130000,0.0003145068185403943
1715110235.6789262,131000,0.0005152453668415546
1715110537.9673674,132000,0.00038573952042497694
1715110840.0277376,133000,0.0005059650866314769
1715111141.9689074,134000,0.00036225991789251566
1715111444.3670518,135000,0.0003061594907194376
1715111746.4139402,136000,0.00032574241049587727
1715112048.6747909,137000,0.00043235981138423085
1715112350.778212,138000,0.00045580649748444557
1715112652.6084945,139000,0.00025304354494437575
1715112954.517551,140000,0.000308166112517938
1715113256.597377,141000,0.0004462534561753273
1715113558.5495393,142000,0.00048084487207233906
1715113861.0890388,143000,0.00046359977568499744
1715114163.4319537,144000,0.000408024963689968
1715114465.45979,145000,0.0004620113759301603
1715114768.0627127,146000,0.00038935645716264844
1715115070.7479727,147000,0.00041522239916957915
